,DATE,TAVG,TMAX,TMIN,PRCP
403,1990-12,43.8,59.7,27.9,0.53
404,1991-01,49.4,62.9,36.0,0.35
405,1991-02,56.9,72.2,41.6,1.94
406,1991-03,51.0,61.0,41.0,8.46
407,1991-04,57.3,72.7,41.8,0.15
408,1991-05,,,,0.0
409,1991-06,63.2,77.1,49.3,0.0
410,1991-07,68.8,83.3,54.4,0.0
411,1991-08,68.6,82.7,54.6,0.0
412,1991-09,69.5,86.3,52.7,0.11
413,1991-10,65.0,82.2,47.9,0.43
414,1991-11,55.5,72.4,38.7,0.05
415,1991-12,49.5,64.4,34.7,1.87
416,1992-01,48.7,63.4,34.0,1.02
417,1992-02,55.6,67.7,43.5,3.82
418,1992-03,56.5,67.0,45.9,3.2
419,1992-04,62.9,79.0,46.8,0.0
420,1992-05,66.2,81.1,51.4,0.0
421,1992-06,67.1,80.2,54.0,0.0
422,1992-07,70.6,85.5,55.7,0.0
423,1992-08,69.7,86.8,52.6,0.0
424,1992-09,67.5,85.3,49.6,0.0
425,1992-10,64.8,81.0,48.5,0.67
426,1992-11,54.6,70.8,38.4,0.0
427,1992-12,47.4,59.9,34.8,2.8
428,1993-01,48.6,59.1,38.0,5.8
429,1993-02,50.8,61.4,40.3,4.79
430,1993-03,58.6,71.5,45.7,2.65
431,1993-04,59.1,74.2,44.0,0.0
432,1993-05,64.1,79.8,48.5,0.2
433,1993-06,68.2,85.5,50.8,0.23
434,1993-07,68.0,82.8,53.1,0.0
435,1993-08,70.4,86.6,54.2,0.0
436,1993-09,67.2,84.4,49.9,0.0
437,1993-10,64.4,80.2,48.6,0.14
438,1993-11,54.2,69.5,38.9,1.11
439,1993-12,49.2,63.5,35.0,0.0
440,1994-01,,66.9,,1.21
441,1994-02,,63.1,,3.75
442,1994-03,,71.4,,0.57
443,1994-04,,72.0,,0.69
444,1994-05,60.6,74.1,47.1,0.95
445,1994-06,,83.7,,0.0
446,1994-07,66.1,80.0,52.2,0.0
447,1994-08,68.2,84.8,51.5,0.0
448,1994-09,66.3,81.3,51.3,0.09
449,1994-10,,76.5,,0.35
450,1994-11,,60.7,,1.49
451,1994-12,,58.4,,1.0
452,1995-01,,59.1,,6.13
453,1995-02,,64.5,,0.72
454,1995-03,54.7,66.5,43.0,7.65
455,1995-04,,70.1,,0.28
456,1995-05,,71.5,,0.46
457,1995-06,63.5,78.5,48.5,0.35
458,1995-07,68.9,85.2,52.6,0.0
459,1995-08,67.8,84.5,51.0,0.0
460,1995-09,66.5,82.9,50.0,0.0
461,1995-10,,78.9,,0.0
462,1995-11,58.5,74.6,42.5,0.05
463,1995-12,,61.5,,1.3
464,1996-01,,,38.7,2.71
465,1996-02,54.4,63.8,45.0,3.63
466,1996-03,55.8,70.1,41.5,1.58
467,1996-04,59.5,76.2,42.8,0.71
468,1996-05,60.2,76.1,44.4,0.48
469,1996-06,65.2,82.1,48.3,0.0
470,1996-07,69.6,86.5,52.8,0.0
471,1996-08,67.7,84.3,51.0,0.0
472,1996-09,64.5,81.0,48.1,0.0
473,1996-10,59.8,75.8,43.8,2.49
474,1996-11,53.5,66.2,40.9,1.19
475,1996-12,50.8,61.6,40.0,4.63
476,1997-01,50.2,59.3,41.1,4.13
477,1997-02,50.9,64.5,37.3,0.11
478,1997-03,56.3,73.4,39.2,0.05
479,1997-04,58.7,74.0,43.4,0.1
480,1997-05,67.5,85.0,50.1,0.0
481,1997-06,65.5,80.9,50.2,0.03
482,1997-07,68.2,83.2,53.2,0.0
483,1997-08,70.3,85.3,55.3,0.0
484,1997-09,70.4,87.7,53.0,0.0
485,1997-10,60.9,77.7,44.0,0.1
486,1997-11,57.4,68.9,45.9,3.28
487,1997-12,47.7,59.5,36.0,3.7
488,1998-01,51.2,61.1,41.4,2.74
489,1998-02,49.7,58.6,40.8,10.5
490,1998-03,54.2,65.7,42.8,1.98
491,1998-04,56.2,69.1,43.3,1.79
492,1998-05,58.5,70.2,46.8,2.11
493,1998-06,64.4,76.5,52.3,0.05
494,1998-07,68.6,83.3,54.0,0.0
495,1998-08,71.1,88.3,53.9,0.0
496,1998-10,61.3,79.4,43.1,0.1
497,1998-11,53.6,67.1,40.2,2.02
498,1998-12,,,32.1,0.48
499,1999-01,51.8,67.2,36.4,0.77
500,1999-02,50.9,64.1,37.7,0.99
501,1999-03,52.2,64.7,39.8,2.61
502,1999-04,,,41.4,1.02
503,1999-05,60.4,75.8,45.0,0.02
504,1999-06,64.6,81.1,48.1,0.0
505,1999-07,68.1,84.0,52.2,0.0
506,1999-09,68.0,84.7,51.3,0.47
507,1999-10,,,45.6,0.0
508,1999-11,56.3,70.5,42.1,1.29
509,1999-12,49.6,66.8,32.3,0.08
510,2000-01,52.4,63.9,40.9,2.72
511,2000-02,54.7,64.9,44.4,4.64
512,2000-03,55.7,70.3,41.0,1.12
513,2000-04,,,45.2,1.08
514,2000-05,,,49.6,0.02
515,2000-06,69.6,86.5,52.7,0.4
516,2000-07,66.8,81.9,51.6,0.0
517,2000-08,69.3,86.5,52.1,0.17
518,2000-09,,,51.3,0.0
519,2000-10,61.4,74.8,47.9,1.36
520,2000-11,50.5,65.7,35.3,0.0
521,2000-12,52.7,68.8,36.6,0.18
522,2001-01,48.4,62.8,33.9,4.25
523,2001-02,50.2,62.0,38.3,3.78
524,2001-03,58.0,71.8,44.2,2.49
525,2001-04,,,41.4,0.68
526,2001-05,68.5,88.1,49.0,0.0
527,2001-06,69.7,88.8,50.6,0.0
528,2001-07,68.3,82.6,54.1,0.0
529,2001-08,69.0,85.6,52.3,0.0
530,2001-09,67.4,83.5,51.3,0.02
531,2001-10,,,48.2,0.11
532,2001-11,57.4,69.9,45.0,1.82
533,2001-12,50.6,60.8,40.3,2.24
534,2002-01,46.7,59.7,33.6,0.56
535,2002-02,54.0,70.5,37.5,0.6
536,2002-03,55.0,71.2,38.8,0.58
537,2002-04,,,45.4,0.47
538,2002-05,,,45.5,0.3
539,2002-06,,,49.9,0.0
540,2002-07,69.7,86.2,53.2,0.0
541,2002-08,69.3,85.4,53.1,0.0
542,2002-09,69.1,86.7,51.6,0.0
543,2002-10,,,45.0,0.0
544,2002-11,57.7,73.3,42.1,1.72
545,2002-12,,,40.7,5.04
546,2003-01,55.3,68.9,41.7,0.4
547,2003-02,,,38.3,1.63
548,2003-03,57.1,72.9,41.2,0.32
549,2003-04,,,41.9,0.87
550,2003-05,63.4,79.3,47.5,1.19
551,2003-06,68.0,84.4,51.6,0.0
552,2003-07,71.2,89.5,52.9,0.1
553,2003-08,70.0,85.4,54.6,0.12
554,2003-09,70.3,87.8,52.9,0.0
555,2003-11,52.7,67.1,38.2,0.18
556,2003-12,51.5,62.1,40.8,3.72
557,2004-01,,,38.7,0.69
558,2004-02,51.8,63.6,40.1,4.13
559,2004-03,61.3,78.1,44.6,0.26
560,2004-04,61.1,78.4,43.8,0.0
561,2004-05,63.7,80.9,46.5,0.0
562,2004-06,66.3,83.0,49.7,0.0
563,2004-07,70.1,85.7,54.6,0.0
564,2004-08,69.8,85.5,54.2,0.0
565,2004-09,,,48.3,0.0
566,2004-10,61.6,76.6,46.5,3.38
567,2004-11,52.8,66.2,39.4,0.54
568,2004-12,50.1,63.3,36.9,5.1
569,2005-01,51.2,62.3,40.0,3.14
570,2005-02,55.0,65.8,44.3,3.92
571,2005-03,57.7,71.1,44.4,1.42
572,2005-04,,,42.0,0.78
573,2005-05,64.0,79.4,48.6,0.6
574,2005-06,64.7,79.9,49.5,0.05
575,2005-07,71.3,88.0,54.6,0.02
576,2005-08,70.6,87.6,53.6,0.01
577,2005-09,66.2,83.1,49.3,0.01
578,2005-10,,,44.9,0.0
579,2005-11,58.4,74.9,42.0,0.48
580,2005-12,52.8,64.1,41.6,2.5
581,2006-01,50.4,63.4,37.4,2.92
582,2006-02,,,36.8,1.78
583,2006-03,,,38.7,3.12
584,2006-04,,,45.9,3.22
585,2006-05,65.0,81.3,48.7,1.01
586,2006-06,69.9,87.4,52.5,0.0
587,2006-07,73.3,92.2,54.5,0.0
588,2006-08,68.7,84.8,52.5,0.0
589,2006-09,67.0,84.2,49.8,0.0
590,2006-10,,,43.8,0.38
591,2006-11,55.9,70.1,41.8,0.52
592,2006-12,48.6,62.8,34.3,1.25
593,2007-01,46.6,62.1,31.1,0.64
594,2007-02,52.8,65.5,40.1,1.44
595,2007-03,,,41.6,0.39
596,2007-04,59.3,75.4,43.2,0.65
597,2007-05,62.7,79.1,46.4,0.0
598,2007-06,66.7,84.2,49.3,0.0
599,2007-07,69.6,85.1,54.1,0.0
600,2007-08,70.1,86.6,53.6,0.0
